source,target,time_duration,traffic_density,bandwidth
40.0205116.2950,40.0205116.3050,60.0,0.0195721999357689,1.0068495806311253
40.0205116.3050,40.0205116.3070,61.0,0.0994920162905339,1.0544956013197615
40.0205116.3070,40.0270116.3070,60.0,0.0230594965057497,0.9731581983138636
40.0270116.3070,40.0270116.3090,60.0,0.0978703235849017,0.6320400580998248
40.0270116.3090,40.0270116.3130,60.0,0.0489351617955338,0.6843388447485953
40.0270116.3130,40.0270116.3190,60.0,0.0326234412003097,0.8277200143787713
40.0270116.3190,40.0270116.3200,62.0,0.2022653354081845,0.8316798477793961
40.0270116.3200,40.0270116.3210,60.0,0.1957406471642303,0.5707914052865581
40.0270116.3210,40.0270116.3220,60.0,0.1957406471642303,0.911808738151123
40.0270116.3220,40.0270116.3240,61.0,0.0995014956446501,0.9742318334242904
40.0270116.3240,40.0345116.3240,60.0,0.0199848969716406,0.9399578718577656
40.0345116.3240,40.0345116.3290,60.0,0.0391524343113761,0.9009406637450966
40.0345116.3290,40.0345116.3300,62.0,0.2022875772530354,1.2007540175074245
40.0345116.3300,40.0345116.3310,60.0,0.1957621715302144,0.522033821975964
40.0345116.3310,40.0265116.3310,61.0,0.019048104926099,0.7377589375595803
40.0265116.3310,40.0265116.3270,60.0,0.0489348031279854,0.5704062113716668
40.0265116.3270,40.0265116.3240,60.0,0.0652464041679728,0.5085896511239941
40.0265116.3240,40.0265116.3230,60.0,0.1957392124940373,0.7738699929017674
40.0265116.3230,40.0265116.3200,60.0,0.0652464041679728,0.7049265497435742
40.0265116.3200,40.0265116.3190,61.0,0.1990015327073347,0.8175188852083445
40.0265116.3200,40.0265116.3220,61.0,0.0995007663527027,0.5987259787886554
40.0265116.3190,40.0265116.3200,60.0,0.1957392124990177,0.7178403760600662
40.0265116.3220,40.0265116.3200,60.0,0.0978696062485601,0.7279798538529155
39.9300116.3210,39.9300116.3180,60.0,0.0651543309070902,0.3430184583930317
39.9300116.3180,39.9300116.3160,60.0,0.0977314963584946,0.8601515538346923
39.9300116.3160,39.9360116.3160,60.0,0.0249811212145826,0.9807398493067386
39.9360116.3160,39.9360116.3130,36.0,0.0390960256234395,0.383238406878392
39.9360116.3130,39.9360116.3160,60.0,0.0651600427057326,0.5271056756677033
39.9360116.3100,39.9420116.3030,61.0,0.0189293196423749,0.3982147292384931
39.9420116.3030,39.9420116.3040,6.000000003153335,0.019549726875472,0.5408441812034573
